詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名,又唸作,合音唸作,俗唸作,語音差異,詞彙比較,名,姓,異用字,詞目tuì詞目近義,詞目tuì詞目反義,解說,詞性,例句,例句-華語,例句-音檔,義項tuì義項近義,義項tuì義項反義,義項tuì詞目近義,義項tuì詞目反義
4340,主詞目,狗母魚,káu-bó-hî/káu-bó-hû,"魚蝦海獸,食物、飲料、煙酒",4340(1),"[{""漢字"": ""狗母魚"", ""羅馬字"": ""káu-bú-hî/káu-bú-hû""}]",,,,,,,,,,1. (名詞) 魚名。狗母魚科。活動於沿岸沙泥海域，有時會進入河口，因肉質較差，刺又多，常用來做成魚鬆等加工品。,1. 名詞,,,,1. 狗母鮻,,1. 大頭狗母,
4341,主詞目,狗母鍋,káu-bó-ue/káu-bó-e,飲食物具,4341(1),,,,,,,,,,,1. (名詞) 沙鍋。用陶土和沙子燒製成的鍋子。通常用來燉東西或煎藥。,1. 名詞,,,,,,,
4342,主詞目,注目,tsù-bo̍k,"反應、表情,待人處事",4342(1),,,,,,,,,,,"1. (名詞) 將視線集聚在同一處注視。
2. (動詞) 目光直視以表敬意。","1. 名詞
2. 動詞","1. 伊的行為引起人的注目。 (I ê hîng-uî ín-khí lâng ê tsù-bo̍k.)
2. 我手裡有物件，干焦會當共你行注目禮。 (Guá tshiú--lí ū mi̍h-kiānn, kan-na ē-tàng kā lí kiânn tsù-bo̍k-lé.)","1. 他的行為引起人家的注目。
2. 我手上有東西，所以只能向你行注目禮。","1. 4342-1-1
2. 4342-2-1",,,,
4343,主詞目,物件,mi̍h-kiānn/mn̍gh-kiānn,事、物泛稱,4343(1),,,,,,,,,,,1. (名詞) 東西。,1. 名詞,1. 你手提的是啥物物件？ (Lí tshiú the̍h--ê sī siánn-mih mi̍h-kiānn?),1. 你手裡拿的是什麼東西？,1. 4343-1-1,1. 物仔,,,
4344,主詞目,炕肉,khòng-bah,飲食行為,4344(1),,,,,,,,炕肉,,,"1. (動詞) 用慢火長時間燉煮肉類。
2. (名詞) 用慢火長時間燉煮的肉類。","1. 動詞
2. 名詞","1. 我這陣咧炕肉，你共我鬥影一下。 (Guá tsit-tsūn teh khòng-bah, lí kā guá tàu iánn--tsi̍t-ē.)
2. 伊上愛食炕肉。 (I siōng ài tsia̍h khòng-bah.)","1. 我現在在燉肉，你幫我注意著點。
2. 他最喜歡吃炕肉。","1. 4344-1-1
2. 4344-2-1",,,,
4345,主詞目,爸老囝幼,pē-lāu-kiánn-iù,生活狀況,4345(1),,,,,,,,爸老囝幼/爸老囝幼/爸老囝幼,,,1. (熟語) 父親年事已高，兒子年紀尚小，彼此雙方年歲相差甚大。,1. 熟語,"1. 你毋緊娶某生囝，等甲爸老囝幼，你就艱苦。 (Lí m̄ kín tshuā-bóo senn-kiánn, tán kah pē-lāu-kiánn-iù, lí tō kan-khóo.)",1. 你不快結婚生子，等到父老子幼時，你就辛苦了。,1. 4345-1-1,,,,
4346,主詞目,炕肉飯,khòng-bah-pn̄g,食物、飲料、煙酒,4346(1),,,,,,,,炕肉飯,,,1. (名詞) 將白飯配上一些當令的菜餚，再加上一塊用滷料燉煮過的五花肉，為臺灣常見的飯。,1. 名詞,,,,,,,
4347,主詞目,炊床,tshue-sn̂g/tshe-sn̂g,飲食物具,4347(1),,,,,,,,,,,1. (名詞) 蒸籠。用來炊蒸食物的竹製或木製用具。,1. 名詞,,,,1. 炊斗/籠床,,,
4348,主詞目,狗岫,káu-siū,居住環境,4348(1),,,,,,,,狗岫,,,1. (名詞) 狗窩、狗欄。,1. 名詞,,,,,,,
4349,主詞目,狗空,káu-khang,動物形體、行為,4349(1),,,,,,,,狗空,,,1. (名詞) 狗洞。牆壁間可供狗出入的洞口。,1. 名詞,,,,,,,
4350,主詞目,注音,tsù-im,語言、文字、符號,4350(1),,,,,,,,,,,1. (動詞) 用同音字或者符號來標明文字的音讀。,1. 動詞,,,,,,,
4351,主詞目,物食,mi̍h-tsia̍h/mn̍gh-tsia̍h,食物、飲料、煙酒,4351(1),,,,,,,,物食,,,1. (名詞) 食物。,1. 名詞,1. 賣物食 (bē mi̍h-tsia̍h),1. 販賣食用品,1. 4351-1-1,1. 食物,,,
4352,主詞目,注射,tsù-siā,醫療保健,4352(1),,,,,,,,,,,1. (動詞) 打針。源自日語「注射（ちゅうしゃ）」。,1. 動詞,1. 囡仔上驚注射。 (Gín-á siōng kiann tsù-siā.),1. 小孩子最怕打針。,1. 4352-1-1,,,,
4353,主詞目,牧師,bo̍k-su,神職、神巫、信徒,4353(1),,,,,,,,,,,1. (名詞) 基督教的傳教士。,1. 名詞,,,,,,,
4354,主詞目,狐狸,hôo-lî,獸類,4354(1),,,,,,,,,,,1. (名詞) 哺乳動物。本指狐和狸兩種動物，後多用來專指狐。狐形體像狗卻略為瘦小，毛呈赤黃色，尾巴長，遇到敵人能放出惡臭。因為生性狡猾多疑，所以多用來比喻狡詐而且作惡多端的壞人。,1. 名詞,1. 老狐狸 (lāu-hôo-lî),1. 老狐狸,1. 4354-1-1,,,,
4355,主詞目,狐狸精,hôo-lî-tsiann,泛稱,4355(1),,,,,,,,,,,1. (名詞) 俗稱修煉成精，能幻化成人形的狐狸。常比喻作妖冶放蕩會魅惑男人的女子。,1. 名詞,,,,,,,
4356,主詞目,泡茶,phàu tê,飲食行為,4356(1),,,,,,,,,泡茶心/泡茶米,,1. (動詞) 沏茶。用煮開的水沖泡茶葉。,1. 動詞,,,,,,,
4357,主詞目,物配,mi̍h-phuè/mn̍gh-phè,食物、飲料、煙酒,4357(1),,,,,,,,,,,1. (名詞) 配菜，吃飯時的下飯菜。,1. 名詞,1. 暗頓有啥物物配？ (Àm-tǹg ū siánn-mih mi̍h-phuè?),1. 晚上有什麼配菜？,1. 4357-1-1,,,,
4358,主詞目,物理,bu̍t-lí,"教育、學術,事、物泛稱",4358(1),,,,,,,,,,,"1. (名詞) 指萬事萬物最基本的道理。
2. (名詞) 研究物質的性質、狀態、運動等變化的學科。","1. 名詞
2. 名詞",,,,1. 事理/道理,,,
4359,主詞目,牧場,bo̍k-tiûnn,漁牧業,4359(1),,,,,,,,,,,1. (名詞) 飼養牲畜的地方。,1. 名詞,,,,,,,
4360,主詞目,炕菜頭,khòng-tshài-thâu,飲食行為,4360(1),,,,,,,,炕菜頭,,,1. (動詞) 用慢火把蘿蔔煮爛。,1. 動詞,,,,,,,
4361,主詞目,注意,tsù-ì,心理活動,4361(1),,,,,,,,,,,1. (動詞) 小心、留意。,1. 動詞,"1. 山路誠歹行，咱著愛較注意咧。 (Suann-lōo tsiânn pháinn kiânn, lán tio̍h-ài khah tsù-ì--leh.)",1. 山路很難走，我們要多留意。,1. 4361-1-1,1. 小心/致意/細膩/斟酌/謹慎/注神,1. 無細膩,,1. 生猴
4362,主詞目,炊粿,tshue kué/tshe ké,"生活勞動,飲食行為",4362(1),,,,,,,,炊粿,,,1. (動詞) 蒸製米粿。,1. 動詞,,,,,,,
4363,主詞目,物價,bu̍t-kè,財務單位、活動,4363(1),,,,,,,,,,,1. (名詞) 物品的價格。,1. 名詞,,,,,,,
4364,主詞目,炕窯,khòng-iô,"生活用品,飲食物具",4364(1),,,,,,,,炕窯,炕塗窯,,1. (動詞) 用土塊堆成一個小土窯，再把柴火丟到土窯中加以燃燒，放入番薯後，再把土窯推平，利用高溫餘熱把番薯燜熟，是一種民間常見窯燒番薯的方法。,1. 動詞,,,,,,,
4365,主詞目,狗蝨,káu-sat,昆蟲類,4365(1),,,,,,,,狗蝨,,,1. (名詞) 狗蝨、蝨子。昆蟲名。寄生在狗身上的蝨子，體型極小，會吸取狗身上的血液為生，造成身體發癢。,1. 名詞,,,,1. 蝨母,,,
4366,主詞目,爭論,tsing-lūn,一般動詞-行為動詞,4366(1),,,,,,,,,,,1. (動詞) 爭相辯論，不肯退讓。,1. 動詞,,,,1. 相諍/辯,,1. 辯論,
4367,主詞目,狗蟻,káu-hiā,昆蟲類,4367(1),,,,,,,,狗蟻,,,1. (名詞) 螞蟻。昆蟲名。身體小而長，全身呈黑或褐色，腹部為卵形，頭大，有觸角和一對複眼。一般行集團社會生活，有蟻后、工蟻、兵蟻之分。,1. 名詞,,,,,,,
4368,主詞目,狗蟻碟仔,káu-hiā-ti̍h-á,"生活用品,飲食物具",4368(1),,,,,,,,,狗蟻碗,,1. (名詞) 用來防止螞蟻爬上菜櫥的碟狀器具。四周有凹槽可裝水，櫥腳放在碟中央平高處。,1. 名詞,,,,,,,
4369,主詞目,泡麵,phàu-mī,食物、飲料、煙酒,4369(1),,,,,,,,,,,"1. (名詞) 速食麵、方便麵。一種速食食品。用熱水沖泡即可食用。
2. (動詞) 泡麵。","1. 名詞
2. 動詞",2. 我來泡麵予你食。 (Guá lâi phàu mī hōo lí tsia̍h.),2. 我來泡麵給你吃。,2. 4369-2-1,,,,
4370,主詞目,的(替),--ê,助詞、嘆詞,4370(1),,,,,,,,,,,"1. (助詞) 置於詞尾或句尾，表示狀態或加強語氣的助詞。
2. (助詞) 置於詞尾，用以稱呼某種身份地位的人，或特定的對象。
3. 形容詞後綴。
4. 連接修飾語與省略的被修飾語，用以表示屬性。","1. 助詞
2. 助詞","1-1. 這是好的，彼是歹的。 (Tse sī hó--ê, he sī pháinn--ê.)
1-2. 我足受氣的。 (Guá tsiok siū-khì--ê.)
2-1. 賣菜的 (bē-tshài--ê)
2-2. 王的 (Ông--ê)
2-3. 董的 (táng--ê)
3-1. 花是紅的。 (Hue sī âng--ê.)
3-2. 草是青的。 (Tsháu sī tshenn--ê.)
4. 你想會著的攏記落來。 (Lí siūnn ē tio̍h--ê lóng kì--lo̍h-lâi.)","1-1. 這是好的，那是壞的。
1-2. 我真生氣。
2-1. 賣菜的人
2-2. 老王
2-3. 董事長
3-1. 花是紅色的。
3-2. 草是青色的。
4. 你想得到的都記下來。","1-1. 4370-1-1
1-2. 4370-1-2
2-1. 4370-2-1
2-2. 4370-2-2
2-3. 4370-2-3
3-1. 4370-3-1
3-2. 4370-3-2
4. 4370-4-1",,,,
4371,主詞目,的(替),ê,助詞、嘆詞,4371(1),,,,,,,,的,,,1. (助詞) 表示所有格。,1. 助詞,"1. 我的冊 (guá ê tsheh)
2. 伊的名 (i ê miâ)","1. 我的書
2. 他的名字","1. 4371-1-1
2. 4371-1-2",,,,
4372,主詞目,盲,bông,"個性風格,傷疾病痛",4372(1),,,,,,,,,,,"1. (形容詞) 眼睛看不見。
2. (副詞) 比喻不明事理。","1. 形容詞
2. 副詞","1. 盲人 (bông-jîn)
2. 盲從 (bông-tsiông)","1. 眼睛失明的人
2. 不明是非，毫無主見的附和他人。","1. 4372-1-1
2. 4372-2-1",,,,
4373,主詞目,直,ti̍t,"個性風格,境況、狀態-擬物,副詞",4373(1),,,,,,,,,,,"1. (形容詞) 不彎曲的。
2. (形容詞) 行為或性格坦白爽快。
3. (副詞) 一直、沒有間隔的。多用重疊。
4. (動詞) 平息、清楚。","1. 形容詞
2. 形容詞
3. 副詞
4. 動詞","1-1. 直路 (ti̍t lōo)
1-2. 直線 (ti̍t-suànn)
2. 條直 (tiâu-ti̍t)
3-1. 直直講話 (ti̍t-ti̍t kóng-uē)
3-2. 直直落 (ti̍t-ti̍t lo̍h)
4. 花袂直 (hue bē-ti̍t)","1-1. 直路
1-2. 直線
2. 坦率
3-1. 一直說話
3-2. 下個不停
4. 指攪擾不清","1-1. 4373-1-1
1-2. 4373-1-2
2. 4373-2-1
3-1. 4373-3-1
3-2. 4373-3-2
4. 4373-4-1","1. 直直
2. 條直
3. 一直/直直",,,1. 曲/彎
4374,主詞目,知,tsai(白),心理活動,4374(1),,,,,,,,,,,"1. (動詞) 明白、了解。
2. (動詞) 意識、感覺。","1. 動詞
2. 動詞","1-1. 知影 (tsai-iánn)
1-2. 知苦 (tsai-khóo)
2. 毋知人 (m̄-tsai-lâng)","1-1. 知道
1-2. 知苦
2. 不省人事","1-1. 4374-1-1
1-2. 4374-1-2
2. 4374-2-1",1. 明白,1. 毋知/毋知影,,
4375,主詞目,知,ti(文),心理活動,4375(1),,,,,,,,,,,"1. (動詞) 知道、明瞭。
2. (名詞) 舊時的職官名。","1. 動詞
2. 名詞","1-1. 知情 (ti-tsîng)
1-2. 通知 (thong-ti)
2. 知府 (ti-hú)","1-1. 知情
1-2. 通知
2. 明清兩代時一府的行政官","1-1. 4375-1-1
1-2. 4375-1-2
2. 4375-2-1",,,,
4376,主詞目,矸(替),kan,"生活用品,數詞、量詞",4376(1),,,,,,,,,,,"1. (名詞) 瓶子。
2. (量詞) 瓶。計算瓶子的單位。","1. 名詞
2. 量詞","1-1. 酒矸 (tsiú-kan)
1-2. 花矸 (hue-kan)
2. 一矸米酒 (tsi̍t kan bí-tsiú)","1-1. 酒瓶
1-2. 花瓶
2. 一瓶米酒","1-1. 4376-1-1
1-2. 4376-1-2
2. 4376-2-1",1. 矸仔/瓶,,,
